dataset,table_name,column_name,data_type,ordinal_position
postgresqldim9000,paid_tasks_locations,_sdc_received_at,TIMESTAMP,8
postgresqldim9000,paid_tasks_locations,_sdc_sequence,INT64,9
postgresqldim9000,paid_tasks_locations,house_id,STRING,10
postgresqldim9000,paid_tasks_locations,created_at,TIMESTAMP,11
postgresqldim9000,paid_tasks_locations,_sdc_batched_at,TIMESTAMP,12
postgresqldim9000,paid_tasks_locations,complex_id,STRING,13
postgresqldim9000,sections,id,STRING,1
postgresqldim9000,sections,floors,INT64,2
postgresqldim9000,sections,name,STRING,3
postgresqldim9000,sections,_sdc_table_version,INT64,4
postgresqldim9000,sections,updated_at,TIMESTAMP,5
postgresqldim9000,sections,base_floor,INT64,6
postgresqldim9000,sections,_sdc_received_at,TIMESTAMP,7
postgresqldim9000,sections,_sdc_sequence,INT64,8
postgresqldim9000,sections,house_id,STRING,9
postgresqldim9000,sections,created_at,TIMESTAMP,10
postgresqldim9000,sections,_sdc_batched_at,TIMESTAMP,11
postgresqldim9000,space_apartments,id,STRING,1
postgresqldim9000,space_apartments,account,STRING,2
postgresqldim9000,space_apartments,_sdc_sequence,INT64,3
postgresqldim9000,space_apartments,_sdc_table_version,INT64,4
postgresqldim9000,space_apartments,_sdc_received_at,TIMESTAMP,5
postgresqldim9000,space_apartments,_sdc_batched_at,TIMESTAMP,6
postgresqldim9000,space_commercials,id,STRING,1
postgresqldim9000,space_commercials,name,STRING,2
postgresqldim9000,space_commercials,type,STRING,3
postgresqldim9000,space_commercials,dabi,STRING,4
postgresqldim9000,space_commercials,_sdc_sequence,INT64,5
postgresqldim9000,space_commercials,_sdc_table_version,INT64,6
postgresqldim9000,space_commercials,_sdc_received_at,TIMESTAMP,7
postgresqldim9000,space_commercials,_sdc_batched_at,TIMESTAMP,8
postgresqldim9000,space_user,user_id,STRING,1
postgresqldim9000,space_user,space_id,STRING,2
postgresqldim9000,space_user,_sdc_sequence,INT64,3
postgresqldim9000,space_user,_sdc_table_version,INT64,4
postgresqldim9000,space_user,_sdc_received_at,TIMESTAMP,5
postgresqldim9000,space_user,_sdc_batched_at,TIMESTAMP,6
postgresqldim9000,spaces,floor,INT64,1
postgresqldim9000,spaces,section_id,STRING,2
postgresqldim9000,spaces,id,STRING,3
postgresqldim9000,spaces,owner_id,STRING,4
postgresqldim9000,spaces,_sdc_table_version,INT64,5
postgresqldim9000,spaces,updated_at,TIMESTAMP,6
postgresqldim9000,spaces,number,STRING,7
postgresqldim9000,spaces,_sdc_received_at,TIMESTAMP,8
postgresqldim9000,spaces,kind,STRING,9
postgresqldim9000,spaces,_sdc_sequence,INT64,10
postgresqldim9000,spaces,created_at,TIMESTAMP,11
postgresqldim9000,spaces,_sdc_batched_at,TIMESTAMP,12
postgresqldim9000,spaces,cached_debt,INT64,13
postgresqldim9000,statistic_citizen,total,INT64,1
postgresqldim9000,statistic_citizen,owner,INT64,2
postgresqldim9000,statistic_citizen,active_user,INT64,3
postgresqldim9000,statistic_citizen,unconfirmed_user,INT64,4
postgresqldim9000,statistic_citizen,id,STRING,5
postgresqldim9000,statistic_citizen,_sdc_table_version,INT64,6
postgresqldim9000,statistic_citizen,citizen,INT64,7
